College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
Dr. B.R. Ambedkar Nit Jalandhar Nirf Engineering 2025,"25470848 (Two Crore Fifty Four Lakh Seventy Thousand Eight
Hundred Forty Eight )","46033470 (Four Crore Sixty Lakh Thirty Three Thousand Four
Hundred Seventy )","1233726 (Twelve Lakh Thirty Three Thousand Seven Hundred
Twenty Six )",,"365337010 (Thirty Six Crore Fifty Three Lakh Thirty Seven
Thousand Ten )","32320345 (Three Crore Twenty Three Lakh Twenty Thousand
Three Hundred Forty Five )","62608921 (Six Crore Twenty Six Lakh Eight Thousand Nine
Hundred Twenty One )","937514 (Nine Lakh Thirty Seven Thousand Five Hundred
Fourteen )",,"64803488 (Six Crore Forty Eight Lakh Three Thousand Four
Hundred Eighty Eight )","30328469 (Three Crore Three Lakh Twenty Eight Thousand
Four Hundred And Sixty Nine)","64923148 (Six Crore Forty Nine Lakh Twenty Three Thousand
One Hundred And Forty Eight)","958749 (Nine Lakh Fifty Eight Thousand Seven Hundred And
Forty Nine)",,"13103429 (One Crore Thirty One Lakh Three Thousand Four
Hundred And Twenty Nine)","1040001873 (One Hundred and Four Crore One Thousand
Eight Hundred And Seventy Three)","561357360 (Fifty Six Crore Thirteen Lakh Fifty Seven
Thousand Three Hundred Sixty )","4405930 (Forty Four Lakh Five Thousand Nine Hundred Thirty
)","1017832091 (One Hundred One Crore Seventy Eight Lakh
Thirty Two Thousand Ninety One )","266888715 (Twenty Six Crore Sixty Eight Lakh Eighty Eight
Thousand Seven Hundred Fifteen )","3428035 (Thirty Four Lakh Twenty Eight Thousand Thirty Five
)","753824026 (Seventy Five Crore Thirty Eight Lakh Twenty Four
Thousand Twenty Six )","327937598 (Thirty Two Crore Seventy Nine Lakh Thirty Seven
Thousand Five Hundred And Ninety Eight)","2197815 (Twenty One Lakh Ninety Seven Thousand Eight
Hundred And Fifteen)"
Malaviya  Nit  Nirf Overall 2025,"41769208 (Four Crore Seventeen Lakhs Sixty Nine Thousand
Two Hundred Eight)","144640332 (Fourteen crore forty six lakhs forty thousand three
hundred thirty two)","5608988 (Fifty six lakhs eight thousand nine hundred eighty
eight)",2647100 (twenty six lakhs forty seven thousand hundred),"157768265 (Fifteen Crore Seventy seven lakhs sixty eight
thousand two hundred sixty five)","44422715 (Four Crore Forty Four lakh Twenty Two Thousand
Seven Hundred Fifteen)","194057394 (Nineteen Crore Forty lakh Fifty Seven thousand
Three Hundred Ninety Four)",0 (Zero),492000 (Four Lakhs Ninety Two Thousand),"54480323 (Five Crore Forty Four Lakh Eight Thousand Three
Hundred Twenty Three)","22127897 (two crores twenty one lakhs twenty seven thousand
eight hundred and ninety seven)","18038747 (one crore eighty lakhs thirty eight thousand seven
hundred forty seven)",0 (zero),0 (zero),"19390781 (one crores ninety three lakhs ninety thousand
seven hundred eighty one only)","1115926229 (One Hundred eleven Crore fifty nine lakhs twenty
six thousand two hundred twenty nine)","648184814 (Sixty four crore eighty one lakhs eighty four
thousand eight hundred fourteen)","10590418 (one crore five lakh ninety thousand four hundred
eighteen only )","1025257809 (One Hundred Two Crore Fifty Two Lakh Fifty
Seven Thousand Eight Hundred Nine)","393252055 (Thirty Nine Crore Thirty Two lakh Fifty Two
Thousand Fifty Five )","8379698 (Eighty Three Lakh Seventy Nine Thousand Six
Hundred Ninety Eight Only)","988181636 (Ninety eight crore eighty one lakhs eighty one
thousand six hundred thirty six only)","399877947 (thirty nine crores ninety eight lakhs seventy seven
thousand nine hundred forty seven only)","4030327 (forty lakhs thirty thousand three hundred twenty
seven)"
Maulana Azad Nit Nirf Overall 2025,"42570792 (Four Crores Twenty Five Lakhs Seventy Thousand
Seven Hundred Ninety Two Only)","68312206 (Six Crores Eighty Three Lakhs Twelve Thousand
Two Hundred Six  Only)","223359599 (Twenty Two Crores Thirty Three Lakhs Fifty Nine
Thousand Five Hundred Ninety Nine  Only)","247664 (Two Lakhs Forty Seven Thousand Six Hundred Sixty
Four  Only)","207706270 (Twenty Crores Seventy Seven Lakhs Six
Thousand Two Hundred Seventy  Only)","18364088 (One Crore Eighty Three Lakhs Sixty Four
Thousand Eighty Eight Only)","17935738 (One Crores Seventy Nine Lakhs Thirty Five
Thousand Seven Hundred Thirty Eight Only)","49328653 (Four Crore Ninety Three Lakhs Twenty Eight
Thousand Six Hundred Fifty Three Only)","857688 (Eight Lakhs Fifty Seven Thousand Six Hundred Eighty
Eight)","105907735 (Ten Crores Fifty Nine Lakhs Seven Thousand
Seven Hundred Thirty Five Only)","53622727 (Five Crores Thirty Six Lakhs Twenty Two Thousand
Seven hundred Twenty Seven Only)","28914883 (Two Crores Eighty Nine Lakhs Fourteen Thousand
Eight Hundred Eighty Three Only)","93839064 (Nine Crores Thirty Eight Lakhs Thirty Nine
Thousand  Sixty Four Only)","1567728 (Fifteen Lakhs Sixty Seven  Thousand  Seven
Hundred Twenty Eight Only)","191785583 (Nineteen Crores Seventeen Lakhs Eighty Five
Thousand Five Hundred Eighty Three Only)","1201870764 (One Hundreds Twenty Crores Eighteen Lakhs
Seventy Thousand Seven Hundred And Sixty four Only)","597115418 (Fifty Nine Crores Seventy One Lakhs Fifteen
Thousand Four Hundred Eighteen  Only)","8541704 (Eighty Five Lakhs Forty One Thousand Seven
Hundred Four  Only)","1062894552 (One Hundreds Six Crores Twenty Eight  Lakhs
Ninety Four Thousand Five Hundred Fifty Two Only)","621541196 (Sixty Two Crores Fifteen Lakhs Forty One
Thousand One Hundred Ninety Six Only)","10598622 (One Crore Five  Lakhs Ninety Eight Thousand Six
Hundred Twenty Two Only)","994062202 (Ninety Nine Crores Forty Lakhs Sixty Two
Thousand Two Hundred Two Only)","168423545 (Sixteen Crores Eighty Four Lakhs Twenty Three
Thousand Five Hundred Forty Five Only)","3647494 (Thirty Six Lakhs Forty Seven Thousand Four
Hundred Ninety Four Only)"
Motilal Nehru Nit Nirf Overall 2025,"40117830 (Four crore one lakh seventeen thousand eight
hundred thirty)","62087891 (Six crore twenty lakh eighty seven thousand eight
hundred ninety one)",1199504 (Eleven lakh ninety nine thousand five hundred four),0 (zero),"64367666 (Six crore forty three lakh sixty seven thousand six
hundred sixty six)","84493600 (Eight crore forty four lakh ninety three thousand six
hundred)","51498989 (Five crore fourteen lakh ninety eight thousand nine
hundred eighty nine)","1075334 (Ten lakh seventy five thousand three hundred thirty
four)",0 (zero),"144187795 (Fourteen crore forty one lakh eighty seven
thousand seven hundred ninety five)","58842750 (Five crore eighty eight lakh forty two thousand
seven hundred fifty only)","39590170 (Three crore ninety five lakh ninety thousand one
hundred seventy only)",902613 (Nine lakh two thousand six hundred thirteen only),"299642 (Two lakh ninety nine thousand six hundred forty two
only)","377894677 (Thirty seven crore seventy eight lakh ninety four
thousand six hundred seventy seven only)","1086305265 (One hundred eight crore sixty three lakh five
thousand two hundred sixty five)","951302532 (Ninety five crore thirteen lakh two thousand five
hundred thirty two)","6348126 (Sixty three lakhs forty eight thousand one hundred
twenty six only)","1090861681 (One hundred nine crore eight lakh sixty one
thousand six hundred eighty one)","1085425738 (One hundred eight crore fifty four lakh twenty five
lakh seven hundred thirty eight)","9399625 (Ninety three lakh ninety nine thousand six hundred
twenty five)","890400832 (Eighty nine crore four lakh eight hundred thirty two
only)","747488659 (Seventy four crore seventy four lakh eighty eight
thousand six hundred fifty nine only)","7371741 (Seventy three lakh seventy one thousand seven
hundred forty one)"
Nit  Agartala Nirf Engineering 2025,"17571732 (One Crore Seventy Five Lakh Seventy One
Thousand Seven Hundred Thirty Two)","6496839 (Sixty Four Lakhs Ninety Six Thousand Eight
Hundred Thirty Nine Only)","21093466 (Two Crore Ten Lakh Ninety Three Thousand Four
Hundred Sixty Six Only)",,"926462 (Nine Lakh Twenty Six Thousand Four Hundred Sixty
Two Only)",24956 (Twenty Four Thousand Nine Hundred Fifty Six Only),6663000 (Sixty Six Lakh Sixty Three Thousand only),2725000 (Twenty Seven Lakh Twenty Five Thousand only),,1023000 (Ten Lakh Twenty Three Thousand only),12930 (Twelve Thousand Nine Hundred Thirty Only),"230833000 (Twenty Three Crore Eight Lakh Thirty Three
Thousand Only)",3009000 (Thirty Lakhs Nine Thousand Only),,"15342000 (One Crore Fifty Three Lakhs Forty Two Thousand
only)","524295509 (Fifty Two Crores Forty Two Lakhs Ninety Five
Thousands Five Hundred Nine Only)","465028132 (Fort Six Crore Fifty Lakhs Twenty Eight
Thousands One Hundred Thirty Two Only)","387633 (Three Lakh Eighty Seven Thousand Six Hundred
Thirty Three Only)","537084000 (Fifty Three Crore Seventy Lakh Eighty Four
Thousand only)","5704190000 (Fifty Seven Crore Forty One Lakh Ninety
Thousand only)",413000 (Four Lakh Thirteen Thousand only),"428675000 (Forty Two Crore Eighty Six Lakh Seventy Five
Thousand only)","362147000 (Thirty Six Crore Twenty One Lakh Forty Seven
Thousand only)",5000 (Five Thousand only)
Nit Andhra Pradesh Nirf Overall 2025,"5972282 (Rupees Fifty nine lakh seventy two thousand two
hundred eighty two only)","70626525 (Rupees Seven crore sixty two lakh six thousand
five hundred twenty five only)","13451334 (Rupees One crore thirty four lakh fifty one thousand
three hundred thirty four only)",0 (Zero),"80052084 (Rupees Eight crore fifty two thousand eighty four
only)","672738 (Rupees six lakh seventy two thousand seven hundred
and thirty eight only)","17435066 (Rupees one crore seventy four lakh thirty five
thousand sixty six only)","2981687 (Rupees twenty nine lakh eighty one thousand six
hundred and eighty seven only)",0 (Zero),"29010403 (Rupees two crore ninety lakh ten thousand four
hundred and three only)","881433 (Rupees eight lakh eighty one thousand four hundred
and thirty three only)","17427449 (Rupees one crore seventy four lakh twenty seven
thousand four hundred and forty nine only)","2328600 (Rupees twenty three lakh twenty eight thousand six
hundred only)",0 (Zero),0 (Rupees zero only),"165359215 (Rupees Sixteen crore fifty three lakh fifty nine
thousand two hundred fifteen only)","133194740 (Rupees Thirteen crore thirty one lakh ninety four
thousand seven hundred forty only  )","2065950 (Rupees Twenty lakh sixty five thousand nine
hundred fifty only)","200008989 (Rupees twenty crore eight thousand nine hundred
and eighty nine only)","61378251 (Rupees six crore thirteen lakh seventy eight
thousand two hundred and fifty one only)","235618 (Rupees two lakh thirty five thousand six hundred and
eighteen only)","110460550 (Rupees eleven crore four lakh sixty thousand five
hundred and fifty only)","7286334 (Rupees seventy two lakh eighty six thousand three
hundred and thirty four only)","469500 (Rupees four lakh sixty nine thousand five hundred
only)"
Nit Arunachal Pradesh  Nirf Overall 2025,"15800925 (Rupees One Core Fifty Eight Lakh Nine Hundred
and Twenty Five Only)","118837300 (Rupees Eleven Crore Eighty Eight Lakh Thirty
Seven Thousand Three Hundred Only)","26697160 (Rupees Two Crore Sixty Six Lakh Ninety Seven
Thousand One Hundred Sixty Only)","642996 (Rupees Six Lakh Forty Two Thousand Nine Hundred
and Ninety Six Only)","241132249 (Rupees Twenty Four Crore Eleven Lakh Thirty
Two Thousand Two Hundred Forty Nine Only)","9231332 (Ninety Two Lakh Thirty One Thousand Three
Hundred and Thirty Two)","172182562 (Seventeen Crore Twenty One Lakh Eighty Two
Thousand Five Hundred and Sixty Two)","94081011 (Nine Crore Forty Lakh Eighty One Thousand and
Eleven)","443973 (Rupees Four Lakh Forty Three Thousand Nine
Hundred Seventy Three)","205532921 (Rupees Twenty Crore Fifty Five Lakh Thirty Two
Thousand Nine Hundred and Twenty One Only)","8536825 (Eighty Five Lakh Thirty Six Thousand Eight Hundred
and Twenty Five)",123100000 (Twelve Crore and Thirty One Lakh),"61992630 (Six Crore Nineteen Lakh Ninety Two Thousand Six
Hundred and Thirty)","4235385 (Rupees Forty Two Lakh Thirty Five Thousand Three
Hundred and Eighty Five Only)",52300000 (Rupees Five Crore and Twenty Three Lakh Only),"239842565 (Rupees Twenty Three Crore Ninety Eight Lakh
Forty Two Thousand Five Hundred Sixty Five Only)","335340011 (Rupees Thirty Three Crore Fifty Three Lakh Forty
Thousand Eleven Only)","18415995 (Rupees One Crore Eighty Four Lakh Fifteen
Thousand Nine Hundred Ninety Five Only)","183883666 (Eighteen Crore Thirty Eight Lakh Eighty Three
Thousand Six Hundred and Sixty Six)","147666344 (Forteen Crore Seventy Six Lakh Sixty Six
Thousand Three Hundred and Forty Four)","21012959 (Two Crore Ten Lakh Twelve Thousand Nine
Hundred and Fifty Nine)","199617303 (Nineteen Crore Ninety Six Lakh Seventeen
Thousand Three Hundred and Three)","24117607 (Two Crore Forty One Lakh Seventeen Thousand
Six Hundred and Seven)","16935372 (One Crore Sixty Nine Lakh Thirty Five Thousand
Three Hundred and Seventy Two)"
Nit Calicut Nirf Overall 2025,"76443532 (Seven Crore Sixty Four Lakh Forty Three Thousand
Five Hundred and Thirty Two)","400907837 (Forty Core Nine Lakh Seven Thousand Eight
Hundred and Thirty Seven)","21845275 (Two Crore Eighteen Lakh Forty Five Thousand Two
hundred and Seventy Five)","2934343 (Twenty Nine Lakh Thirty Four Thousand Three
Hundred and Forty Three)","419475391 (Forty One Crore Ninety Four Lakh Seventy Five
Thousand Three Hundred and Ninety One)","66466009 (Six crore sixty four lakhs sixty six thousand
andnine)","244789093 (Twenty four crore forty seen lakh eighty nine
thousand ninety three)","15664244 (One Crore fifty six lakh sixty four thousand two
hundred and forty four)",2584600 (Twenty five lakh eighty four thousand six hundred),"132301127 (Thirteen crore twenty three lakh one thousand one
hundred and twenty seven)","7724315 (Seventy seven laks twenty four thousand three
hundred and fifteen)","215549653 (Twenty one crore fifty five lakhs forty nine
thousand six hundred and fifty three)","9019423 (NINETY LAKH NINETEEN THOUSAND FOUR
HUNDRED AND TWENTY THREE)","1785350 (Seventeen lakhs eighty five thousand three hundred
and fifty)","162225830 (Sixteen crore twenty two lakhs twenty five
thousand eight hundred and thirty)","2244927551 (Two Twenty Four Crore Forty Nine Lakh Twenty
Seven Thousand Five Hundred and Fifty One)","1036721232 (One Hundred and Three Crore Sixty Seven Lakh
Twenty One Thousand Two Hundred and Thirty Two)","29890930 (Two Crore Ninety Eight Lakh Ninety Thousand Nine
Hundred and Thirty)","1575663478 (One fifty seven crore fifty six lakh sixty three
thousand four hundred and seventy eight)","1195881716 (One hundred and nineteen crore fifty eight lakh
eighty one thousand seven hundred and sixteen )","32017052 (Three crore twenty lakh seventeen thousand fifty
two)","1316892468 (One thirty one crore sixty eight lakhs ninety two
thousand four hundred and sixty eight)","701356515 (Seventy crore thirteen lakhs fifty six thousand five
hundred and fifteen)","24777649 (Two crore forty seven lakhs seventy seven
thousand six hundred and forty nine)"
Nit Delhi Nirf Engineering 2025,"29271765 (Two Crore Ninety Two Lakh Seventy One
Thousand Seven Hundred Sixty Five )","143187034 (Fourteen Crore Thirty One Lakh Eighty Seven
Thousand Thirty Four )","2907785 (Twenty Nine Lakh Seven Thousand Seven Hundred
Eighty Five )",,"808259596 (Eighty Crore Eighty Two Lakh Fifty Nine Thousand
Five Hundred Ninety Six )","10912400 (One Crore Nine Lakh Twelve Thousand Four
Hundred )","58717915 (Five Crore Eighty Seven Lakh Seventeen
Thousand Nine Hundred Fifteen )","1609934 (Sixteen Lakh Nine Thousand Nine Hundred Thirty
Four )",,"196961986 (Nineteen Crore Sixty Nine Lakh Sixty One
Thousand Nine Hundred Eighty Six )","11279465 (One Crore Twelve Lakh Seventy Nine Thousand
Four Hundred Sixty Five )","2218400 (Twenty Two Lakh Eighteen Thousand Four Hundred
)",0 (Zero),,"20191987 (Two Crore One Lakh Ninety One Thousand Nine
Hundred Eighty Seven )","256274260 (Twenty Five Crore Sixty Two Lakh Seventy Four
Thousand Two Hundred Sixty )","526810598 (Fifty Two Crore Sixty Eight Lakh Ten Thousand
Five Hundred Ninety Eight )",1271070 (Twelve Lakh Seventy One Thousand Seventy ),"249488618 (Twenty Four Crore Ninety Four Lakh Eighty Eight
Thousand Six Hundred Eighteen )","202135308 (Twenty Crore Twenty One Lakh Thirty Five
Thousand Three Hundred Eight)","292167 (Two Lakh Ninety Two Thousand One Hundred Sixty
Seven )","175378257 (Seventeen Crore Fifty Three Lakh Seventy Eight
Thousand Two Hundred Fifty Seven )","193278798 (Nineteen Crore Thirty Two Lakh Seventy Eight
Thousand Seven Hundred Ninety Eight )",256116 (Two Lakh Fifty Six Thousand One Hundred Sixteen )
Nit Durgapur Nirf Overall 2025,"104709673 (Ten crore forty seven lakh nine thousand six
hundred seventy three only)","34653626 (Three crore forty six lakh fifty three thousand six
hundred twenty six only)",0 (Zero),0 (zero),"5175023 (Fifty one lakh seventy five thousand twenty three
only)","102063587 (Ten Crore Twenty Lakh Sixty Three Thousand
Five Hundred Eighty Seven Only)","90244980 (Nine Crore Two Lakhs Forty Four Thousand Nine
Hundred Eighty Only)",0 (Zero),0 (zero),"50204938 (Five Crore Two Lakhs Four Thousand Nine
Hundred Thirty Eight Only)","64127625 (Six Crore Forty One Lakh Twenty Seven Thousand
Six Hundred Twenty Five Only)","52083144 (Five Crore Twenty Lakhs Eighty Three Thousand
One Hundred Forty Four Only)",1250000 (Twelve Lakhs Fifty Thousand Only ),0 (zero),"44522568 (Four Crore Forty Five Lakhs Twenty Two Thousand
Five Hundred Sixty Eight Only)","1346277937 (One hundred thirty four crore sixty two lakh
seventy seven thousand nine hundred thirty seven only)","336276063 (Thirty three crore sixty two lakh seventy six
thousand sixty three only)",1134096 (Eleven lakh thirty four thousand ninety six only),"1132043313 (One hundred Thirteen Crore Twenty Lakhs Forty
Three Thousand Three Hundred Thirteen Only)","389765365 (Thirty Eight Crore Ninety Seven Lakhs Sixty Five
Thousand Three Hundred Sixty Five Only)","846724 (Eight Lakhs Forty Six Thousand Seven Hundred
Twenty Four Only)","1098033571 (One hundred nine Crore Eighty Lakhs Thirty
Three Thousand Five Hundred Seventy One Only)","409227504 (Forty Crore Ninety Two Lakhs Twenty Seven
Thousand Five Hundred Four Only)","2044770 (Twenty Lakhs Forty Four Thousand Seven Hundred
Seventy Only)"
Nit Goa Nirf Overall 2025,"6150182 (Sixty One Lakh Fifty Thousand One Hundred and
Eighty Two)","7197733 (Seventy One Lakh Ninety Seven Thousand Seven
Hundred and Thirty Three Only)","20453287 (Two Crore Four Lakh Fifty Three Thousand Two
Hundred and Eighty Seven Only)",0 (Zero),"2444722 (Twenty Four Lakh Forty Four Thousand Seven
Hundred and Twenty Two Only)",0 (zero),"10012458 (One Crore Twelve Thousand Four Hundred and
Fifty Eight Only)","2287014 (Twenty Two Lakh Eighty Seven Thousand and
Fourteen Only)",0 (Zero),"2585169 (Twenty Five Lakh Eighty Five Thousand One
Hundred and Sixty Nine Only)","355205 (Three Lakh Fifty Five Thousand Two Hundred and
Five Only)","3228743 (Thirty Two Lakh Twenty Eight Thousand Seven
Hundred and Forty Three Only)","3139626 (Thirty One Lakh Thirty Nine Thousand Six Hundred
and Twenty Six Only)",0 (Zero),"6370189 (Sixty Three Lakh Seventy Thousand One Hundred
and Eighty Nine Only)","180662416 (Eighteen Crore Six Lakh Sixty Two Thousand
Four Hundred and Sixteen Only)","202994209 (Twenty Crore Twenty Nine Lakh Ninety Four
Thousand Two Hundred and Nine)","2672658 (Twenty Six Lakh Seventy Two Thousand Six
Hundred and Fifty Eight Only)","176203803 (Seventeen Crore Sixty Two Lakh Three Thousand
Eight Hundred and Three Only)","167017993 (Sixteen Crore Seventy Lakh Seventeen Thousand
Nine Hundred and Ninety Three Only)","277155 (Two Lakh Seventy Seven Thousand One Hundred
and Fifty Five Only)","154089828 (Fifteen Crore Forty Lakh Eighty Nine Thousand
Eight Hundred and Twenty Eight Only )","83816566 (Eight Crore Thirty Eight Lakh Sixteen Thousand
Five Hundred and Sixty Six Only)","480986 (Four Lakh Eighty Thousand Nine Hundred and Eighty
Six Only)"
Nit Hamirpur Nirf Overall 2025,"52657284 (Five Crore Twenty Six Lac Fifty Seven Thousand
Two Hundred Eighty Four Only)","80737711 (Eight Crore Seven Lac Thirty Seven Thousand
Seven Hundred Eleven Only)","8776791 (Eighty Seven Lakh Seventy Six Thousand Seven
Hundred Ninety One Only)",838000 (Eight Lac Thirty Eight Thousand Only),"8851792 (Eighty Eight Lac Fifty One Thousand Seven Hundred
Ninety Two Only)","14428468 (One Crore Forty Four Lac Twenty Eight Thousand
Four Hundred Sixty  Eight Only)","102803753 (Ten Crore Twenty Eight Lac Three Thousand
Seven Hundred Fifty Three Only)","145265 (One Lac Forty Five Thousand Two Hundred Sixty Five
Only)",0 (Zero),"6643661 (Sixty Six Lac Forty Three Thousand Six Hundred
Sixty One Only)","22499446 (Two Crore Twenty Four Lac Ninety Nine Thousand
Four Hundred Forty Six Only)","70237516 (Seven Crore Two Lac Thirty Seven Thousand Five
Hundred Sixteen Only)","63728 (Sixty Three Thousand Seven Hundred Twenty Eight
Only)",0 (Zero),"11049227 (One Crore Ten Lac Forty Nine Thousand Two
Hundred twenty Seven Only)","616240748 (Sixty One Crore Sixty Two Lac Forty Thousand
Seven Hundred Forty Eight Only)","433089347 (Forty Three Crore Thirty Lac Eighty Nine
Thousand Three Hundred Forty Seven Only)","2202405 (Twenty Two Lac Two Thousand Four Hundred Five
Only)","556319830 (Fifty Five Crore Sixty Three Lac Nineteen
Thousand Eight Hundred Thirty Only)","402463608 (Forty  Crore Twenty Four Lac Sixty Three
Thousand Six Hundred Eight Only)","1422711 (Fourteen Lac Twenty Two Thousand Seven Hundred
Eleven Only)","545408742 (Fifty Four Crore Fifty Four Lac Eight Thousand
Seven Hundred Forty Two Only)","408350335 (Forty Crore Eighty Three Lac Fifty Thousand
Three Hundred Thirty Five Only)","1388776 (Thirteen Lac Eighty Eight Thousand Seven Hundred
Seventy Six Only)"
Nit Jamshedpur Nirf Engineering 2025,"64619296 (Six Crore fourty six lac  nineteen thousand two
hundred ninety six )","37165334 (Three Crore  Seventy one   lac sixty five  thousand
three  hundred  thirty four)","7808673 (Seventy eight   lac eight  thousand  six hundred
seventy three)",,"117932029 (Eleven Crore  Seventy nine   lac thirty two
thousand  twenty nine )","26960364 (Two Crore Sixty Nine Lac Sixty Thousand Three
Hundred Sixty Four Only)","40039505 (Four Crore Thirty Nine Thousand Five Hundred
Five Only)","15642801 (One Crore Fifty Six Lac Forty Two Thousand Eight
Hundred One Only)",,"205437744 (Twenty Crore  Fifty Four Lac Thirty Seven
Thousand Seven Hundred Forty Four Only)","16159011 (One Crore Sixty One Lacs Fifty Nine Thousand and
Eleven only)","32702870 (Three crores twenty seven lacs two thousand eight
hundred and seventy only)","10276185 (One crore two lacs seventy six thousand one
hundred and eighty five only)",,"116807266 (Eleven crores Sixty Eight Lacs Seven Thousand
Two Hundred Sixty Six only)","892977412 (Eighty nine crore twenty nine lac  seventy seven
thousand  four  hundred  twelve)","470807984 (Forty seven crore eight lac  seven thousand nine
hundred eighty four )",16800642 (One crore Sixty eight  lac six hundred fourty two ),"740051982 (Seventy Four Crore Fifty One Thousand Nine
Hundred Eighty Two Only)","325776674 (Thirty Two Crore Fifty Seven Lac Seventy Six
Thousand Six Hundred Seventy Four Only)","6575955 (Sixty Five Lac Seventy Five Thousand Nine Hundred
Fifty Five Only)","654305850 (Sixty Five Crores Forty Three Lacs Five Thousand
Eight Hundred Fifty only)","270257352 (Twenty Seven Crores Two Lacs Fifty Seven
Thousand Three Hundred Fifty Two Only)","2872735 (Twenty Eight Lacs Seventy Two Thousand Seven
Hundred Thirty Five only)"
Nit Kurukshetra Nirf Overall 2025,34026000 (Three crore forty lakhs twenty six thousand only),22806000 (Two crore twenty eight lakhs six thousand only),20127000 (Two crore one lakh twenty seven thousand only),0 (zero),96807000 (Nine crore sixty eight lakhs seven thousand only),"36730573 (Three crore sixty seven lakh thirty thousand five
hundred and seventy three)","21739204 (Two crore seventeen lakh theirty nine thousand two
hundred and four only)","30369437 (Three crore three lakh sixty nine thousand four
hundred and thirty seven only)",0 (zero),"128420884 (Twelve crore Eighty four lakhs twenty thousand
eight hundred and eighty four only)","30389473 (Three crore three lakh eighty nine thousand four
hundred and seventy three)","144113742 (Fourteen crore forty one lakh thirteen thousand
seven hundred and forty two)","57134465 (Five crore seventy one lakh thirty four thousand
four hundred and sixty five)",0 (zero),"2307912 (Twenty three lakh seven thousand nine hundred and
twelve only)","1048784000 (One hundred and four crore eighty seven lakhs
eight four thousand only)","358315000 (Thirty five crore eighty three lakhs fifteen thousand
onlly)","14524000 (One crore forty five lakhs twenty four thousand
only)","1035470000 (One hundred and three crore fifty four lakh
seventy thousand only)","382870000 (Thirty eight crore twenty eight lakh seventy
thousand only)","19994914 (One crore ninety nine lakhs ninety four thousand
nine hundred and fourteen only)",990442000 (Ninty nine crore four lakh forty two thousand only),"386617000 (Thirty eight crore sixty six lakhs seventeen
thousand only)",3845000 (Thirty eight lakhs forty five thousand only)
Nit Manipur Nirf Engineering 2025,,,,,,,,,,,,,,,,,,,,,,,,
